 出发地,出发时间,目的地,到达时间
10:30 ,首都国际机场 T2,12:30,河东机场 T3
10:30 ,首都国际机场 T2,12:30,河东机场 T3
22:35 ,首都国际机场 T2,00:40,  +1天到达时间为当地时间： 2020-07-19 00:40
08:40 ,大兴国际机场 ,10:55,河东机场 
