 出发地,出发时间,目的地,到达时间
08:55 ,大兴国际机场 ,10:50,禄口国际机场 T2
10:55 ,大兴国际机场 ,12:50,禄口国际机场 T2
11:25 ,首都国际机场 T2,13:30,禄口国际机场 T2
16:00 ,首都国际机场 T2,18:10,禄口国际机场 T2
18:55 ,首都国际机场 T2,21:10,禄口国际机场 T2
19:45 ,首都国际机场 T2,22:00,禄口国际机场 T2
