 出发地,出发时间,目的地,到达时间
10:00 ,大兴国际机场 ,12:20,天河机场 T3
12:55 ,大兴国际机场 ,15:25,天河机场 T3
21:15 ,首都国际机场 T2,23:40,天河机场 T3
22:35 ,首都国际机场 T2,00:55,  +1天到达时间为当地时间： 2020-07-19 00:55
