 出发地,出发时间,目的地,到达时间
10:55 ,首都国际机场 T2,13:00,萧山机场 
12:30 ,大兴国际机场 ,14:35,萧山机场 
18:00 ,首都国际机场 T2,20:25,萧山机场 
13:40 ,大兴国际机场 ,16:00,萧山机场 T3
17:40 ,大兴国际机场 ,20:05,萧山机场 T3
