 出发地,出发时间,目的地,到达时间
07:05 ,大兴国际机场 ,08:45,流亭机场 T2
19:30 ,大兴国际机场 ,21:10,流亭机场 T2
23:15 ,大兴国际机场 ,01:05,  +1天到达时间为当地时间： 2020-07-19 01:05
