 出发地,出发时间,目的地,到达时间
08:05 ,首都国际机场 T2,10:55,江北机场 T3
19:05 ,大兴国际机场 ,22:10,江北机场 T3
20:55 ,大兴国际机场 ,00:10,  +1天到达时间为当地时间： 2020-07-19 00:10
09:05 ,大兴国际机场 ,12:05,江北机场 T3
