 出发地,出发时间,目的地,到达时间
07:40 ,首都国际机场 T2,10:10,咸阳机场 T3
11:00 ,首都国际机场 T2,13:15,咸阳机场 T3
14:10 ,首都国际机场 T2,16:20,咸阳机场 T3
15:20 ,首都国际机场 T2,17:35,咸阳机场 T3
17:20 ,首都国际机场 T2,19:35,咸阳机场 T3
19:20 ,首都国际机场 T2,21:40,咸阳机场 T3
