 出发地,出发时间,目的地,到达时间
09:05 ,首都国际机场 T2,12:25,宝安机场 T3
17:00 ,大兴国际机场 ,20:25,宝安机场 T3
15:15 ,大兴国际机场 ,18:40,宝安机场 T3
