 出发地,出发时间,目的地,到达时间
11:40 ,大兴国际机场 ,13:45,新桥国际机场 
16:55 ,大兴国际机场 ,19:00,新桥国际机场 
17:15 ,大兴国际机场 ,19:15,新桥国际机场 
